AX,AY,AZ,GX,GY,GZ
0.175536,0.028823,-0.000394,-0.07782,0.167847,-1.071167
0.172557,0.018081,0.002237,-0.061035,0.17395,-1.074219
0.170621,0.026138,0.007089,-0.099182,0.180054,-1.071167
0.171894,0.032974,-0.000777,-0.07782,0.167847,-1.051331
0.171287,0.034194,0.00868,-0.065613,0.164795,-1.060486
0.173352,0.024429,0.002615,-0.080872,0.175476,-1.086426
0.170853,0.027847,-0.002997,-0.090027,0.175476,-1.063538
0.16978,0.027114,-0.01003,-0.080872,0.189209,-1.066589
0.169445,0.01271,-0.010115,-0.074768,0.169373,-1.060486
0.166323,0.018325,0.000845,-0.080872,0.172424,-1.066589
0.167803,0.011733,-0.005723,-0.073242,0.167847,-1.075745
0.163499,0.014907,-0.009121,-0.083923,0.177002,-1.072693
0.114082,-0.010239,-0.019964,-0.076294,0.175476,-1.065063
0.06514,-0.00853,-0.018585,-0.054932,0.166321,-1.075745
0.020669,-0.020493,-0.032099,-0.073242,0.180054,-1.066589
0.004052,-0.020737,-0.033258,-0.073242,0.180054,-1.065063
-0.006178,-0.015122,-0.026579,-0.079346,0.192261,-1.074219
-0.040996,-0.040024,-0.0325,-0.07019,0.18158,-1.063538
-0.053309,-0.025864,-0.011219,-0.080872,0.195312,-1.078796
-0.067343,-0.036362,-0.0071,-0.076294,0.184631,-1.098633
-0.079776,-0.028794,0.011126,-0.086975,0.177002,-1.065063
-0.066031,-0.038804,0.023664,-0.106812,0.169373,-1.066589
-0.061386,-0.025132,0.043343,-0.091553,0.178528,-1.066589
-0.040398,-0.024644,0.03706,-0.076294,0.164795,-1.057434
-0.02516,-0.029038,0.037338,-0.076294,0.170898,-1.066589
-0.011209,-0.016099,0.051175,-0.067139,0.180054,-1.052856
0.0122,-0.013657,0.047993,-0.094604,0.180054,-1.071167
